Company,TypeName,Ram,Gpu,OpSys,Weight,Price,TouchScreen,IPS,PPI,Cpu_Brand,HDD,SSD
Acer,Notebook,8,0,0,2.1,9.939188617449547,0,0,111.94,3,1000,0
Asus,Gaming,8,2,0,2.2,10.830989602063529,0,0,141.21,7,1000,0
Lenovo,Notebook,8,0,2,2.2,10.227501072075105,0,0,141.21,5,2000,0
Dell,Notebook,8,0,0,2.02,10.726684446704295,0,0,141.21,7,1000,128
Acer,Notebook,4,2,0,2.2,10.248473444922546,0,0,141.21,3,1000,0
HP,Notebook,8,2,0,2.5,10.86006688870326,0,0,127.34,5,1000,128
Dell,Ultrabook,8,0,0,1.88,10.975146590629556,0,1,141.21,5,0,256
Apple,Ultrabook,8,0,1,0.92,11.295438385612048,0,1,226.42,5,0,512
HP,Notebook,8,0,0,1.63,10.732515239391274,0,0,157.35,5,0,256
Lenovo,Notebook,4,1,0,2.2,9.964569481536397,0,0,141.21,2,0,128
Acer,Notebook,4,1,0,2.1,9.954494305874713,0,0,100.45,2,1000,0
Dell,Gaming,16,2,0,2.65,11.182693795440782,0,1,141.21,7,1000,128
HP,Ultrabook,8,2,0,1.83,10.525238618990686,0,1,141.21,7,0,256
HP,Notebook,8,0,0,1.96,10.370837263253403,0,0,141.21,5,0,256
Asus,Gaming,16,2,0,2.2,11.25420292138043,0,1,141.21,7,1000,128
Dell,Ultrabook,8,0,0,1.21,11.38349673063646,0,1,165.63,7,0,256
Asus,Gaming,8,1,0,2.45,10.525238618990686,0,0,141.21,2,1000,0
Acer,Notebook,8,2,0,2.2,10.510829537468052,0,0,141.21,7,1000,0
HP,Notebook,16,0,0,1.49,11.06315041150742,0,0,165.63,7,0,512
Dell,Gaming,8,2,0,2.65,11.061478196557058,0,0,141.21,5,0,256
Asus,Ultrabook,8,0,0,1.25,10.9311715265263,0,0,157.35,7,0,256
Acer,2 in 1 Convertible,8,0,0,1.5,10.717283879751747,1,1,165.63,5,0,256
Dell,Notebook,8,1,2,2.2,10.372355286897466,0,0,141.21,7,1000,0
Dell,Notebook,4,1,2,2.2,10.159748614913156,0,0,141.21,3,0,256
Asus,Notebook,6,2,0,2.0,10.333435820406644,0,0,141.21,3,0,256
HP,Gaming,12,2,0,2.62,11.10567456328145,0,1,141.21,7,1000,128
HP,Notebook,8,1,0,1.91,10.55344848760242,0,0,141.21,7,0,256
HP,Notebook,4,1,0,2.1,9.830686725695612,0,0,141.21,2,500,0
Dell,Notebook,8,1,2,2.2,10.447936329228463,0,0,141.21,5,1000,0
HP,Ultrabook,8,2,0,1.38,10.995768507208373,0,1,165.63,7,0,256
Microsoft,Ultrabook,8,0,0,1.252,11.175999925622857,1,0,200.84,5,0,256
HP,Notebook,6,2,0,1.58,10.466313041010059,0,1,157.35,5,0,256
Lenovo,Notebook,4,0,0,1.85,10.003643789397087,0,0,141.21,3,1000,0
Asus,Ultrabook,8,2,0,1.3,11.059803180619348,0,1,157.35,7,0,256
MSI,Gaming,16,2,0,2.2,11.14492549142712,0,0,141.21,7,1000,256
Lenovo,Notebook,8,0,0,1.58,11.275371074510403,0,1,157.35,7,0,256
Asus,Ultrabook,16,2,0,1.5,11.116028941464197,0,0,141.21,7,1000,256
Dell,Ultrabook,8,0,0,1.23,11.204688514352517,1,0,276.05,7,0,256
Lenovo,2 in 1 Convertible,8,0,0,1.37,11.219087416653776,1,1,165.63,5,0,256
HP,Notebook,4,0,0,1.63,10.557612160311693,0,1,111.94,5,500,0
Dell,Ultrabook,8,0,0,1.21,11.371294156418369,0,1,165.63,5,0,256
HP,2 in 1 Convertible,8,0,0,1.26,11.219080268761294,1,1,165.63,5,0,256
HP,Notebook,8,0,0,1.63,10.963991522444166,0,0,157.35,7,0,512
Dell,Notebook,8,2,0,2.16,11.005842535245586,0,1,141.21,7,1000,256
Asus,Notebook,4,2,0,2.0,10.310648555135304,0,0,127.34,3,1000,0
Asus,Notebook,8,2,0,1.7,10.99487446761375,0,0,141.21,7,0,256
Acer,Notebook,6,0,0,2.1,10.147300806108744,1,1,141.21,3,1000,0
MSI,Gaming,16,2,0,1.8,11.690469963100075,0,0,141.21,7,2000,256
Lenovo,Notebook,8,2,2,2.2,10.419722121547444,0,0,141.21,5,0,256
HP,Notebook,16,2,0,2.5,11.123135064243138,0,0,127.34,7,0,512
Acer,Notebook,4,1,0,2.1,10.08706998076417,0,0,100.45,2,0,256
HP,Notebook,4,0,2,1.86,9.5324615515948,0,0,100.45,1,500,0
HP,Notebook,8,0,0,1.63,10.675084480373934,0,0,157.35,5,1000,0
Asus,Notebook,4,1,0,1.65,9.603213681759023,0,0,111.94,2,0,64
Dell,Notebook,16,1,0,2.8,11.216940754140841,0,0,127.34,7,2000,256
HP,Notebook,8,0,0,2.5,10.808612983780158,0,0,127.34,5,0,256
Dell,Notebook,8,1,0,2.36,10.435479203158344,0,0,100.45,5,1000,0
Dell,Notebook,4,1,0,2.2,10.082625714367484,0,0,141.21,3,1000,0
Acer,Ultrabook,8,0,0,1.6,10.760039320283267,0,1,157.35,7,0,256
Acer,Notebook,4,2,0,2.2,10.324732829606425,0,0,141.21,3,0,256
HP,Notebook,8,0,0,2.05,10.36918316559119,0,0,100.45,7,1000,0
HP,Notebook,8,0,0,1.63,10.871262720529089,0,0,157.35,7,0,256
Lenovo,Notebook,4,0,2,1.9,9.50649203596322,0,0,100.45,1,1000,0
Asus,Gaming,8,2,0,3.0,10.819330984386541,0,0,127.34,5,1000,128
Lenovo,Notebook,4,2,2,2.2,10.188204734039374,0,0,141.21,5,1000,0
HP,Notebook,4,0,0,1.32,10.525238618990686,0,1,165.63,5,0,256
Acer,Notebook,4,2,0,3.0,10.460224916065657,0,1,127.34,3,1000,0
Lenovo,Notebook,8,1,0,1.75,10.993101907610118,0,1,157.35,5,0,256
Lenovo,Gaming,8,2,2,2.4,10.742925749387153,0,1,141.21,7,0,256
Toshiba,Notebook,4,0,0,2.1,10.37584964841171,0,0,100.45,5,500,0
HP,Notebook,4,1,0,1.86,9.88640853285114,0,0,100.45,2,0,256
Asus,Ultrabook,8,0,0,1.25,10.977734058532482,0,0,157.35,7,0,256
HP,Ultrabook,8,0,0,0.97,11.58344841861755,1,1,352.47,1,0,512
Asus,Notebook,4,0,0,2.0,9.816257242491497,0,0,141.21,1,1000,0
MSI,Gaming,16,2,0,2.9,11.590868616270843,0,0,127.34,7,1000,256
Acer,Notebook,4,0,0,2.1,10.07816160826124,0,0,100.45,3,1000,0
Dell,Gaming,16,2,0,2.56,11.105882705023603,0,0,141.21,7,0,512
Dell,Gaming,8,2,0,2.62,10.776864937870439,0,0,141.21,7,0,0
Lenovo,Notebook,4,0,0,1.9,10.1861987908373,0,0,100.45,5,0,128
MSI,Gaming,16,2,0,2.8,11.519903064802,0,0,127.34,7,1000,256
HP,Ultrabook,4,0,0,1.48,10.962144831854813,0,0,157.35,5,0,256
HP,Notebook,6,1,0,1.91,10.403696619569766,0,0,141.21,5,0,256
Lenovo,2 in 1 Convertible,4,0,0,1.74,10.419722121547444,1,1,157.35,3,0,256
Asus,2 in 1 Convertible,8,0,0,1.1,11.157167243570104,1,0,165.63,5,0,256
Dell,2 in 1 Convertible,8,0,0,1.56,10.9311715265263,1,0,141.21,7,0,256
Toshiba,Notebook,4,0,0,2.1,10.07816160826124,0,0,100.45,3,500,0
