Company,TypeName,Ram,Gpu,OpSys,Weight,TouchScreen,IPS,PPI,Cpu_Brand,HDD,SSD
HP,Notebook,16,0,0,1.49,0,0,165.63,7,0,512
Dell,Gaming,8,2,0,2.65,0,0,141.21,5,0,256
Asus,Ultrabook,8,0,0,1.25,0,0,157.35,7,0,256
Acer,2 in 1 Convertible,8,0,0,1.5,1,1,165.63,5,0,256
Dell,Notebook,8,1,2,2.2,0,0,141.21,7,1000,0
Dell,Notebook,4,1,2,2.2,0,0,141.21,3,0,256
Asus,Notebook,6,2,0,2.0,0,0,141.21,3,0,256
HP,Gaming,12,2,0,2.62,0,1,141.21,7,1000,128
HP,Notebook,8,1,0,1.91,0,0,141.21,7,0,256
HP,Notebook,4,1,0,2.1,0,0,141.21,2,500,0
Dell,Notebook,8,1,2,2.2,0,0,141.21,5,1000,0
HP,Ultrabook,8,2,0,1.38,0,1,165.63,7,0,256
Microsoft,Ultrabook,8,0,0,1.252,1,0,200.84,5,0,256
HP,Notebook,6,2,0,1.58,0,1,157.35,5,0,256
Lenovo,Notebook,4,0,0,1.85,0,0,141.21,3,1000,0
Asus,Ultrabook,8,2,0,1.3,0,1,157.35,7,0,256
MSI,Gaming,16,2,0,2.2,0,0,141.21,7,1000,256
Lenovo,Notebook,8,0,0,1.58,0,1,157.35,7,0,256
Asus,Ultrabook,16,2,0,1.5,0,0,141.21,7,1000,256
Dell,Ultrabook,8,0,0,1.23,1,0,276.05,7,0,256
Lenovo,2 in 1 Convertible,8,0,0,1.37,1,1,165.63,5,0,256
HP,Notebook,4,0,0,1.63,0,1,111.94,5,500,0
Dell,Ultrabook,8,0,0,1.21,0,1,165.63,5,0,256
HP,2 in 1 Convertible,8,0,0,1.26,1,1,165.63,5,0,256
HP,Notebook,8,0,0,1.63,0,0,157.35,7,0,512
Dell,Notebook,8,2,0,2.16,0,1,141.21,7,1000,256
Asus,Notebook,4,2,0,2.0,0,0,127.34,3,1000,0
Asus,Notebook,8,2,0,1.7,0,0,141.21,7,0,256
Acer,Notebook,6,0,0,2.1,1,1,141.21,3,1000,0
MSI,Gaming,16,2,0,1.8,0,0,141.21,7,2000,256
Lenovo,Notebook,8,2,2,2.2,0,0,141.21,5,0,256
HP,Notebook,16,2,0,2.5,0,0,127.34,7,0,512
Acer,Notebook,4,1,0,2.1,0,0,100.45,2,0,256
HP,Notebook,4,0,2,1.86,0,0,100.45,1,500,0
HP,Notebook,8,0,0,1.63,0,0,157.35,5,1000,0
Asus,Notebook,4,1,0,1.65,0,0,111.94,2,0,64
Dell,Notebook,16,1,0,2.8,0,0,127.34,7,2000,256
HP,Notebook,8,0,0,2.5,0,0,127.34,5,0,256
Dell,Notebook,8,1,0,2.36,0,0,100.45,5,1000,0
Dell,Notebook,4,1,0,2.2,0,0,141.21,3,1000,0
Acer,Ultrabook,8,0,0,1.6,0,1,157.35,7,0,256
Acer,Notebook,4,2,0,2.2,0,0,141.21,3,0,256
HP,Notebook,8,0,0,2.05,0,0,100.45,7,1000,0
HP,Notebook,8,0,0,1.63,0,0,157.35,7,0,256
Lenovo,Notebook,4,0,2,1.9,0,0,100.45,1,1000,0
Asus,Gaming,8,2,0,3.0,0,0,127.34,5,1000,128
Lenovo,Notebook,4,2,2,2.2,0,0,141.21,5,1000,0
HP,Notebook,4,0,0,1.32,0,1,165.63,5,0,256
Acer,Notebook,4,2,0,3.0,0,1,127.34,3,1000,0
Lenovo,Notebook,8,1,0,1.75,0,1,157.35,5,0,256
Lenovo,Gaming,8,2,2,2.4,0,1,141.21,7,0,256
Toshiba,Notebook,4,0,0,2.1,0,0,100.45,5,500,0
